id	feedType	jobTitle	referenceId	referenceName	referenceURL	interest	location	description
1351748	Full Time	Graduate Research Assistant (Cancer Epidemiology)	0	University of HawaiÊ»i	http://api.simplyhired.com/a/job-details/view/jobkey-5731af97ba2aa88f424cd31b30e874a34ca7a9/rid-ccfxncxguiownpmsjvkofmrqikggsdoc/cjp-2/hits-3		"Hilo, HI"	"1. Coordinate and implement various data collection activities (e.g. securing participants, collecting survey data, conducting interviews and focus groups, pretesting; 2. Process and manage study data (entering and cleaning data, data...>"
1351749	Full Time	Release to Production Engineer Intern/Co-Op	5	Facebook	http://api.simplyhired.com/a/job-details/view/jobkey-5851.a0IA000000CwlYQMAZ/rid-kjfjeonxxppmrvbveidlodfetpdidtvf/cjp-0/hits-5		"Menlo Park, CA"	"Facebook is seeking a Release to Production Engineer to join our Hardware Engineering Team. Come learn about our cutting edge power and hardware architecture, which has one of the most efficient infrastructures in the industry. Our servers and datacenters are the foundation upon which our rapidly scaling infrastructure efficiently operates and upon which our innovative services are delivered. The intern/co-op will work closely with power, server, and data center engineering design teams to help design, qualify, and optimize our hardware power devices. This position is located in our Menlo Park office. Release to Production (RTP) is the core validation team for all hardware that gets deployed at our data centers and we are looking for skilled and self-initiating hardware validation interns. Students majoring in electrical, mechanical, computer, or mechatronics are encouraged to apply. Understanding of server architecture is a definitive advantage. Applicants must be familiar with Linux and bash, we use CentOS. We will be focusing on students who show strong self-initiatives and are able to complete tasks with little guidance (we don't like to micro-manage). Basic programming experience is a must, we will have preference for students with python experience. Responsibilities will include debugging of hardware failures, running tests, working with our vendors/odms/oems and supporting the team. Projects will be assigned based on experience and interests. Travel may be asked of you but it's not a requirement. If you like to solve problems, are efficient and have good communication skills, please apply ;Interface with hardware, mechanical, power, thermal and software engineers to understand system architecture. ;Drive hardware optimizations by creating hardware, thermal, and mechanical test plans for server hardware. ;Execute tests according to plan, while keeping a through procedural record and data log. ;Create automated test infrastructure, through the use of scripted languages and remotely controlled test equipment. ;Develop and publish test reports and communicate findings to team members. ;Diagnose and root cause component failures.>"
1351750	Full Time	"Administrative Assistant, Mobile Engineering"	5	Facebook	http://api.simplyhired.com/a/job-details/view/jobkey-5851.a0IA000000CwlNsMAJ/rid-kjfjeonxxppmrvbveidlodfetpdidtvf/cjp-1/hits-5		"Menlo Park, CA"	"Facebook is seeking an experienced Administrative Assistant. This position is full-time and located in our Menlo Park, California headquarters. Coordinate internal and external meetings for multiple Executives; Manage hectic and complex calendars; Prepare expense reports; Coordinate both domestic and international travel arrangements; Organize space planning and large offsite events; General office duties as needed; Build cross-functional relationships between departments;>"
1351751	Full Time	Systems Engineer Intern/Co-Op	5	Facebook	http://api.simplyhired.com/a/job-details/view/jobkey-5851.a0IA000000CwkuoMAB/rid-kjfjeonxxppmrvbveidlodfetpdidtvf/cjp-2/hits-5		"Menlo Park, CA"	"Facebook is seeking a Systems Engineering Intern to join our Release to Production team. Our servers and data centers are the foundation upon which our rapidly scaling infrastructure efficiently operates and upon which our innovative services are delivered. The co-op will work closely with our hardware, validation, production engineering, and data center teams to provision, image, validate, and deploy hardware that is delivered to Facebook’s data centers. This position is located in our Menlo Park office. ;Interface with hardware, validation, software, and data center engineers to understand system deployment, provisioning, and imaging. ;Develop automation around testing and deploying software packages to Facebook’s server fleet. ;Support the data center in break/fix and sustaining activities. ;Test and validate new drivers and firmware for components and new system kernels. ;Develop processes to monitor systems, perform data collection, and maintenance methodologies. ;Diagnose and root cause component failures.>"
1351752	Full Time	IT Service Desk Lead	5	Facebook	http://api.simplyhired.com/a/job-details/view/jobkey-5851.a0IA000000Cwk8TMAR/rid-kjfjeonxxppmrvbveidlodfetpdidtvf/cjp-3/hits-5		"Menlo Park, CA"	"The Global Help Desk is the primary group responsible for providing user-facing support to users through site-specific walkup locations and our global Remote Help Desk. The Help Desk Service Lead is responsible for operational execution and ensuring adverse trends in the quality of service delivery & support are constantly improved through the actionable use of data. This is a full-time position based in our main office in Menlo Park, CA. ; Required to manage through influence on a recurring basis, working with other teams. ; Constantly maintains operational awareness of how Help Desk team(s) are doing overall through regular and deep understanding of defined metrics. ; Responsible for task management and assignments for Help Desk techs ; Monitors and unblock Help Desk performance through review and analysis of KPI's and issues. ; Seeks out feedback from Help Desk Techs to optimize support delivered (either in person or remotely) and maintain a good understanding of general user support needs and requirements (""voice of the customer"") ; Uses advanced methods for the systematic isolation of issues, identification of root cause, and definition of technical solutions. ; Constantly identifies and takes action based on operational metrics and problem trends. ; Responsible for the quality and measuring success of on-boarding new technicians.>"
1351753	Full Time	"Data Engineer, Business Intelligence (Intern/Co-Op)"	5	Facebook	http://api.simplyhired.com/a/job-details/view/jobkey-5851.a0IA000000CvTcgMAF/rid-kjfjeonxxppmrvbveidlodfetpdidtvf/cjp-4/hits-5		"Menlo Park, CA"	"Facebook is seeking a Data Engineer intern to join the IT team and participate in the design and development of creative and innovative solutions to manipulate/transform data coming from diverse facebook.com domains and components (such as ads, pages etc…) as well as other custom systems and databases to facilitate its visibility and consumption through the appropriate interfaces. This is an internship/co-op position based in our main office in Menlo Park, California. Design, Architect and Develop data solutions to help product and business teams at Facebook to make data driven decisions; Lead end-to-end efforts to design, development and implementation data integration processes for external insights, Data Warehouse and Operational Data Store; Leverage homegrown ETL framework as well as off-the-shelf ETL tools, as appropriate; Interface closely with data infrastructure and engineering teams to build and extend cross platform ETL and reports generation framework; Provide consultative solutions approach to business partners such as Analysts, Management, End Users and Developers to clarify objectives, determine scope, drive consensus, identify problems and recommend solutions; Support end users on ad hoc data usage and be a subject matter expert on functional side of the business>"
1351754	Full Time	Non-Technical Yahoo - Intern	28	Yahoo!	http://api.simplyhired.com/a/job-details/view/jobkey-5235.1348551/rid-xsyrzxwnvofvreskbebrhjixqpevjjuv/cjp-0/hits-1		"Sunnyvale, CA"	"Title: Non-Technical Yahoo - Intern Location: California-Sunnyvale Other Locations: Non-Technical Yahoo – Intern Locations: California, New York, Florida, Washington D.C. About The Job We are looking for intern candidates in the areas of Marketing & Customer Experience, Legal, Human Resources, and Finance to support and innovate on Yahoo’s suite of exciting next-generation products. Minimum Job Qualifications -Ability to communicate effectively, both verbally and in writing. -Project management skills and ability to drive projects forward. -Strong analytical skills and demonstrable logical and critical thinking. -Excels in fast-paced, hard-working, and fun environment. -Manage multiple tasks with a strong attention to detail. -Demonstrated experience, outstanding judgment and self-motivation. -Ability to think and communicate strategically with a variety of people. -A willingness to learn. Preferable Job Qualifications The ideal candidate is a smart, motivated individual with demonstrable analytical capabilities, an inherent ability and desire to solve problems, strong technical proficiency, and an eagerness and ability to work across a number of projects and teams. The right person would be eager to dive” right in, learn new things, and strive to deliver high quality, measurable, and accurate results. Minimum GPA 3.5. How to Apply: 1. Submit your resume via your school’s career site OR 2. Apply directly to the career site under position #1348551 EEO Statement Yahoo! Inc. is an equal opportunity employer. For more information or to search all of our openings, please visit http://careers.yahoo.com.>"
1351755	Full Time	Patient Service Coordinator Assistant	0	Apple Physical Therapy	http://api.simplyhired.com/a/job-details/view/jobkey-6170.498005-2013-09-17/rid-tfjoaepuocrwxxwjmgcarvxomspfwfud/cjp-0/hits-51		"Puyallup, WA"	"Apple Physical Therapy is seeking a Patient Service Coordinator Assistant for the Puyallup area. This is a part-time position scheduled for 30 hours per week. We anticipate a schedule of early afternoon to 7:00 PM. Benefits include continuing education; paid vacation; paid sick leave, and paid holidays; and a matching 401k plan. Answers phones, greets patients, schedules patients, performs re-call procedures, explains and assists patients with paperwork, collects co-pays and deductibles, and assists Patient Service Coordinator with clerical/administrative tasks. Cleans treatment rooms, does laundry, takes out trash and recycling, and other back office duties as needed. High school diploma or general education degree (GED). One year recent receptionist experience or graduate of an accredited Medical Administrative Assistant or Health Unit Coordinator program; or equivalent combination of experience and education. Experience working in a healthcare environment is preferred, but not required. Requires an upbeat personality, friendly customer service attitude, attention to detail, and experience multi-tasking in a fast-paced environment. Professional appearance and communication skills and regular, predictable attendance.>"
1351756	Full Time	Receptionist	1380	Apple	http://api.simplyhired.com/a/job-details/view/jobkey-9c95be444a8b55157d23a055d68e1abf4843a12/rid-tfjoaepuocrwxxwjmgcarvxomspfwfud/cjp-1/hits-51		"Santa Clara, CA"	"* Job Number: 29611448 * Address: Santa Clara Valley, California, United States * Posted: Sep. 13, 2013 * Category: Corporate * Job Summary: The Apple Receptionist greets all guests, employees and visitors, professionally, courteously and respectfully. * Qualifications:  * Excellent Communication Skills * Team Player * Ability to Multi-Task * Professional Composure * Customer Service Experience  * Description: The successful candidate will be a team player who enjoys taking on any small tasks or projects to support the company. The ability to multi-task with excellent interpersonal communication skills is a must. This role may include assisting other administrative staff with overflow work, including word processing, data entry and internet research tasks. * Education: *>"
1351757	Full Time	"Indie Label Relations Representative, iTunes"	1380	Apple	http://api.simplyhired.com/a/job-details/view/jobkey-afbb910d9b47dfb2e5de1ef8d1ba1b4f7409248/rid-tfjoaepuocrwxxwjmgcarvxomspfwfud/cjp-2/hits-51		"Santa Clara, CA"	"* Job Number: 29553514 * Address: Santa Clara Valley, California, United States * Posted: Sep. 8, 2013 * Category: Corporate * Job Summary: Responsible for managing relationships and maximizing sales with independent label partners and artist managers in the digital music space. This role works cross-functionally to facilitate business and operational needs, with the ultimate goal of identifying and driving mutual growth opportunities. * Qualifications:  * At least five years of music industry experience, preferably with an indie label or artist management background * Experience in music marketing and a solid grasp of marketing in general * Strategic understanding of key trends affecting the music industry and emerging technologies relevant to digital music; plus an understanding of their different stages of development * Strong organizational, interpersonal, and communication skills * Ability to work in a fast-paced environment, very responsive, and with strong attention to detail * A passion for discovering new music across a variety of genres * Proactive; striving to go above and beyond what is required of the role with an ability to prioritize and solve challenges creatively * Innovative; continuously seeks to enhance and redefine the approach needed to grow the business, while still delivering on all priority projects * Collaborative; ability to work cross-functionally in a team environment  * Description: Responsibilities include: Partner management focused on indie music content providers Working with the music and marketing teams to create new promotions and opportunities for assigned label partners Identifying priority content and communicating projections and marketing drivers for releases on a weekly basis Tracking assets for promotions, responding to inquiries, assisting with technical questions, and content delivery management Cross-functional role that works closely with iTunes music, marketing, production, legal, design, editorial and finance teams Some travel is required * Education: BS/BA or equivalent work experience *>"
